dataset,n_components,fold,cv_splits,accuracy,fit_seconds,total_seconds
HAR,1,1,10,0.6209239130434783,1.6631565000861883,1.6763027919223532
HAR,1,2,10,0.623641304347826,1.619569957954809,1.6335884999716654
HAR,1,3,10,0.6326530612244898,2.2467098750639707,2.2600403749383986
HAR,1,4,10,0.5891156462585034,1.7503074170090258,1.7640740829519928
HAR,1,5,10,0.6312925170068027,1.6213974999263883,1.6331256249686703
HAR,1,6,10,0.6231292517006802,1.6299183340743184,1.6420905829872936
HAR,1,7,10,0.6258503401360545,1.75476354197599,1.7671511250082403
HAR,1,8,10,0.6299319727891156,1.6553729579318315,1.6672874999931082
HAR,1,9,10,0.6163265306122448,1.677020458970219,1.6885219999821857
HAR,1,10,10,0.617687074829932,1.8850987079786137,1.8980437500867993
HAR,3,1,10,0.8559782608695652,2.654729083995335,2.668540457962081
HAR,3,2,10,0.8709239130434783,2.6516049170168117,2.6635109579656273
HAR,3,3,10,0.8476190476190476,2.5718558749649674,2.5834632500773296
HAR,3,4,10,0.8598639455782313,2.6129477920476347,2.625474000000395
HAR,3,5,10,0.85578231292517,2.6599723749095574,2.6718058330006897
HAR,3,6,10,0.8571428571428571,2.5753421660047024,2.587255790946074
HAR,3,7,10,0.8476190476190476,2.642644750070758,2.6547767920419574
HAR,3,8,10,0.891156462585034,2.5547871249727905,2.5666753340046853
HAR,3,9,10,0.8476190476190476,2.6154365829424933,2.6275112089933828
HAR,3,10,10,0.8585034013605443,2.6163855419727042,2.6297878329642117
HAR,5,1,10,0.9850543478260869,3.7826263749739155,3.79607224999927
HAR,5,2,10,0.9769021739130435,3.6556265419349074,3.667127833934501
HAR,5,3,10,0.9891156462585035,3.664372041937895,3.6770729169948027
HAR,5,4,10,0.9836734693877551,3.6722484590718523,3.6861491670133546
HAR,5,5,10,0.9755102040816327,3.5965104160131887,3.608712707995437
HAR,5,6,10,0.9727891156462585,3.6875195839675143,3.699476958019659
HAR,5,7,10,0.9850340136054422,3.706080707954243,3.717584874946624
HAR,5,8,10,0.9782312925170068,3.7505322080105543,3.7649380000075325
HAR,5,9,10,0.9823129251700681,3.718238916946575,3.7304371669888496
HAR,5,10,10,0.9714285714285714,3.6780992089770734,3.690633084042929
YEAST,1,1,5,0.4208754208754209,0.41975958307739347,0.4228929579257965
YEAST,1,2,5,0.3333333333333333,0.4195534170139581,0.42286295793019235
YEAST,1,3,5,0.32996632996632996,0.4154761660611257,0.4189020419726148
YEAST,1,4,5,0.42424242424242425,0.41104558401275426,0.4143652078928426
YEAST,1,5,5,0.40878378378378377,0.41254525003023446,0.4159955830546096
YEAST,5,1,5,0.5925925925925926,0.9983718330040574,1.0018907499033958
YEAST,5,2,5,0.5656565656565656,0.9887789590284228,0.9925994169898331
YEAST,5,3,5,0.49158249158249157,1.0015899159479886,1.0051838749786839
YEAST,5,4,5,0.5117845117845118,0.9974269999656826,1.0010298329871148
YEAST,5,5,5,0.6216216216216216,0.9966512089595199,1.0004191249608994
YEAST,9,1,5,0.6094276094276094,1.4314026250503957,1.4350600000470877
YEAST,9,2,5,0.5959595959595959,1.4262037079315633,1.4298821670236066
YEAST,9,3,5,0.5622895622895623,1.4275645840680227,1.4311665419954807
YEAST,9,4,5,0.5656565656565656,1.4295662080403417,1.4331632090033963
YEAST,9,5,5,0.6486486486486487,1.4312485828995705,1.4348740000277758
