dataset,fold,method,inner_splits,outer_accuracy,best_inner_cv_accuracy,runtime_seconds,best_params
HAR,1,LDA+GBM,3,0.9824561403508771,0.9712312332119836,8.542262375000064,"{""gb__learning_rate"": 0.03}"
HAR,1,PCA+GBM,3,0.9469604243166054,0.9243006153929948,404.14973579200023,"{""gb__learning_rate"": 0.1}"
HAR,1,LdaBoost,3,0.9804161566707467,0.9673541399176462,202.84172129199987,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
HAR,2,LDA+GBM,3,0.9763361893104855,0.9765370646171389,8.234069999999974,"{""gb__learning_rate"": 0.03}"
HAR,2,PCA+GBM,3,0.9424724602203183,0.9294040724220439,406.63462654199975,"{""gb__learning_rate"": 0.1}"
HAR,2,LdaBoost,3,0.9759281925744594,0.9755166980097104,209.91482899999983,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
HAR,3,LDA+GBM,3,0.9751020408163266,0.974704202366381,9.995824041000105,"{""gb__learning_rate"": 0.03}"
HAR,3,PCA+GBM,3,0.9351020408163265,0.9318645450836393,409.99402412499967,"{""gb__learning_rate"": 0.1}"
HAR,3,LdaBoost,3,0.9751020408163266,0.9728682170542635,199.86131462499998,"{""learning_rate"": 0.07, ""max_depth"": 3, ""n_estimators"": 100}"
RAINFALL,1,LDA+GBM,3,0.8794520547945206,0.8513800514332873,3.6843244169999707,"{""gb__learning_rate"": 0.03}"
RAINFALL,1,PCA+GBM,3,0.8767123287671232,0.8493238466240216,0.7551868750001631,"{""gb__learning_rate"": 0.03}"
RAINFALL,1,LdaBoost,3,0.8780821917808219,0.8486422006461553,2.1655218330001844,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
RAINFALL,2,LDA+GBM,3,0.8383561643835616,0.8636891130997147,0.23044337500004985,"{""gb__learning_rate"": 0.05}"
RAINFALL,2,PCA+GBM,3,0.8465753424657534,0.8767164380899266,0.7650656249998065,"{""gb__learning_rate"": 0.07}"
RAINFALL,2,LdaBoost,3,0.8328767123287671,0.8643707590775809,2.238945375000185,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 100}"
RAINFALL,3,LDA+GBM,3,0.863013698630137,0.854782647884785,0.2643253750002259,"{""gb__learning_rate"": 0.03}"
RAINFALL,3,PCA+GBM,3,0.8643835616438356,0.8609611208287914,0.6562972920000902,"{""gb__learning_rate"": 0.05}"
