dataset,method,mean_accuracy,std_accuracy,n_folds
HAR,LDA+GBM,0.9779647901592297,0.003938267453388239,3
HAR,PCA+GBM,0.9415116417844168,0.00598729436891138,3
HAR,LdaBoost,0.9771487966871776,0.0028596088243915637,3
RAINFALL,LDA+GBM,0.8602739726027396,0.020684477904851395,3
RAINFALL,PCA+GBM,0.8625570776255707,0.01515128769227128,3
RAINFALL,LdaBoost,0.8575342465753425,0.022881223408890483,3
IRIS,LDA+GBM,0.98,0.020000000000000018,3
IRIS,PCA+GBM,0.9666666666666667,0.03055050463303896,3
IRIS,LdaBoost,0.9666666666666667,0.03055050463303896,3
SONAR,LDA+GBM,0.687784679089027,0.05178963945173308,3
SONAR,PCA+GBM,0.7644582470669427,0.015816956246019677,3
SONAR,LdaBoost,0.6830227743271221,0.06337331740892667,3
YEAST,LDA+GBM,0.613894682315735,0.02964819613623496,3
YEAST,PCA+GBM,0.5822175874807454,0.023217636974054472,3
YEAST,LdaBoost,0.5815428236480868,0.019059746950416612,3
