dataset,fold,fold_label,start_utc,end_utc,elapsed_seconds,elapsed_hms
HAR,1,HAR fold 1/3,2026-04-10T07:50:24+00:00,2026-04-10T07:57:32+00:00,427.62343433299975,00:07:08
HAR,2,HAR fold 2/3,2026-04-10T07:57:32+00:00,2026-04-10T08:04:34+00:00,422.15968925000016,00:07:02
HAR,3,HAR fold 3/3,2026-04-10T08:04:34+00:00,2026-04-10T08:11:51+00:00,436.8676337500001,00:07:17
RAINFALL,1,RAINFALL fold 1/3,2026-04-10T08:11:51+00:00,2026-04-10T08:11:51+00:00,0.48976595800013456,00:00:00
RAINFALL,2,RAINFALL fold 2/3,2026-04-10T08:11:51+00:00,2026-04-10T08:11:52+00:00,0.44596029199965415,00:00:00
RAINFALL,3,RAINFALL fold 3/3,2026-04-10T08:11:52+00:00,2026-04-10T08:11:52+00:00,0.46578216699981567,00:00:00
IRIS,1,IRIS fold 1/3,2026-04-10T08:11:52+00:00,2026-04-10T08:11:53+00:00,0.3182351250006832,00:00:00
IRIS,2,IRIS fold 2/3,2026-04-10T08:11:53+00:00,2026-04-10T08:11:53+00:00,0.30978041699927417,00:00:00
IRIS,3,IRIS fold 3/3,2026-04-10T08:11:53+00:00,2026-04-10T08:11:53+00:00,0.34878154099988024,00:00:00
SONAR,1,SONAR fold 1/3,2026-04-10T08:11:53+00:00,2026-04-10T08:11:54+00:00,0.28769350000038685,00:00:00
SONAR,2,SONAR fold 2/3,2026-04-10T08:11:54+00:00,2026-04-10T08:11:54+00:00,0.29896095799995237,00:00:00
SONAR,3,SONAR fold 3/3,2026-04-10T08:11:54+00:00,2026-04-10T08:11:54+00:00,0.28931816700060153,00:00:00
YEAST,1,YEAST fold 1/3,2026-04-10T08:11:54+00:00,2026-04-10T08:11:56+00:00,2.0936803750000763,00:00:02
YEAST,2,YEAST fold 2/3,2026-04-10T08:11:56+00:00,2026-04-10T08:11:58+00:00,1.8556621249999807,00:00:02
YEAST,3,YEAST fold 3/3,2026-04-10T08:11:58+00:00,2026-04-10T08:12:00+00:00,1.79765020800005,00:00:02
