n_samples,n_classes,correlation,n_features,n_reps,train_fraction,mean_acc,std_acc,max_acc
1000,2,0.0,5,5,0.7,0.699,0.025,0.7233333333333334
1000,2,0.0,50,5,0.7,0.713,0.026,0.7633333333333333
1000,2,0.0,100,5,0.7,0.758,0.040,0.8233333333333334
1000,2,0.0,300,5,0.7,0.755,0.028,0.7966666666666666
1000,2,0.0,400,5,0.7,0.765,0.024,0.78
1000,2,0.3,5,5,0.7,0.711,0.023,0.73
1000,2,0.3,50,5,0.7,0.797,0.053,0.9
1000,2,0.3,100,5,0.7,0.820,0.018,0.8533333333333334
1000,2,0.3,300,5,0.7,0.779,0.030,0.8266666666666667
1000,2,0.3,400,5,0.7,0.740,0.013,0.76
1000,2,0.7,5,5,0.7,0.806,0.011,0.82
1000,2,0.7,50,5,0.7,0.809,0.036,0.8633333333333333
1000,2,0.7,100,5,0.7,0.809,0.019,0.84
1000,2,0.7,300,5,0.7,0.752,0.021,0.7933333333333333
1000,2,0.7,400,5,0.7,0.757,0.026,0.79
2585,2,0.0,5,5,0.7,0.696,0.015,0.7177835051546392
2585,2,0.0,50,5,0.7,0.697,0.017,0.7242268041237113
2585,2,0.0,100,5,0.7,0.754,0.038,0.8234536082474226
2585,2,0.0,300,5,0.7,0.764,0.025,0.8067010309278351
2585,2,0.0,400,5,0.7,0.754,0.004,0.759020618556701
2585,2,0.3,5,5,0.7,0.718,0.024,0.7551546391752577
2585,2,0.3,50,5,0.7,0.796,0.048,0.8814432989690721
2585,2,0.3,100,5,0.7,0.775,0.019,0.8015463917525774
2585,2,0.3,300,5,0.7,0.750,0.006,0.759020618556701
2585,2,0.3,400,5,0.7,0.741,0.009,0.7525773195876289
2585,2,0.7,5,5,0.7,0.807,0.015,0.8350515463917526
2585,2,0.7,50,5,0.7,0.831,0.023,0.8595360824742269
2585,2,0.7,100,5,0.7,0.788,0.020,0.8041237113402062
2585,2,0.7,300,5,0.7,0.754,0.019,0.7744845360824743
2585,2,0.7,400,5,0.7,0.748,0.003,0.7525773195876289
10000,2,0.0,5,5,0.7,0.690,0.010,0.7083333333333334
10000,2,0.0,50,5,0.7,0.704,0.002,0.707
10000,2,0.0,100,5,0.7,0.747,0.042,0.83
10000,2,0.0,300,5,0.7,0.758,0.016,0.7856666666666666
10000,2,0.0,400,5,0.7,0.761,0.009,0.7753333333333333
10000,2,0.3,5,5,0.7,0.714,0.010,0.722
10000,2,0.3,50,5,0.7,0.794,0.045,0.8826666666666667
10000,2,0.3,100,5,0.7,0.784,0.015,0.799
10000,2,0.3,300,5,0.7,0.752,0.005,0.7593333333333333
10000,2,0.3,400,5,0.7,0.754,0.010,0.77
10000,2,0.7,5,5,0.7,0.812,0.022,0.8493333333333334
10000,2,0.7,50,5,0.7,0.830,0.022,0.8563333333333333
10000,2,0.7,100,5,0.7,0.793,0.010,0.802
10000,2,0.7,300,5,0.7,0.763,0.005,0.7686666666666667
10000,2,0.7,400,5,0.7,0.745,0.006,0.7523333333333333
1000,3,0.0,5,5,0.7,0.561,0.039,0.63
1000,3,0.0,50,5,0.7,0.604,0.018,0.6266666666666667
1000,3,0.0,100,5,0.7,0.662,0.055,0.73
1000,3,0.0,300,5,0.7,0.667,0.017,0.6933333333333334
1000,3,0.0,400,5,0.7,0.678,0.025,0.7233333333333334
1000,3,0.3,5,5,0.7,0.599,0.015,0.6233333333333333
1000,3,0.3,50,5,0.7,0.693,0.024,0.74
1000,3,0.3,100,5,0.7,0.709,0.018,0.7333333333333333
1000,3,0.3,300,5,0.7,0.679,0.032,0.7333333333333333
1000,3,0.3,400,5,0.7,0.670,0.013,0.6833333333333333
1000,3,0.7,5,5,0.7,0.738,0.043,0.8133333333333334
1000,3,0.7,50,5,0.7,0.756,0.033,0.8033333333333333
1000,3,0.7,100,5,0.7,0.733,0.026,0.78
1000,3,0.7,300,5,0.7,0.667,0.033,0.71
1000,3,0.7,400,5,0.7,0.647,0.016,0.6666666666666666
1000,5,0.0,5,5,0.7,0.434,0.016,0.45666666666666667
1000,5,0.0,50,5,0.7,0.473,0.044,0.51
1000,5,0.0,100,5,0.7,0.550,0.049,0.61
1000,5,0.0,300,5,0.7,0.585,0.013,0.6066666666666667
1000,5,0.0,400,5,0.7,0.548,0.042,0.6
1000,5,0.3,5,5,0.7,0.473,0.025,0.51
1000,5,0.3,50,5,0.7,0.579,0.076,0.6833333333333333
1000,5,0.3,100,5,0.7,0.573,0.026,0.6233333333333333
1000,5,0.3,300,5,0.7,0.550,0.035,0.6166666666666667
1000,5,0.3,400,5,0.7,0.520,0.024,0.5666666666666667
1000,5,0.7,5,5,0.7,0.633,0.044,0.69
1000,5,0.7,50,5,0.7,0.677,0.048,0.7366666666666667
1000,5,0.7,100,5,0.7,0.582,0.016,0.6066666666666667
1000,5,0.7,300,5,0.7,0.538,0.008,0.5466666666666666
1000,5,0.7,400,5,0.7,0.523,0.028,0.5733333333333334
2585,5,0.0,5,5,0.7,0.436,0.012,0.45618556701030927
2585,5,0.0,50,5,0.7,0.462,0.020,0.48711340206185566
2585,5,0.0,100,5,0.7,0.545,0.024,0.5721649484536082
2585,5,0.0,300,5,0.7,0.539,0.008,0.5515463917525774
2585,5,0.0,400,5,0.7,0.545,0.019,0.5708762886597938
2585,5,0.3,5,5,0.7,0.481,0.016,0.49742268041237114
2585,5,0.3,50,5,0.7,0.600,0.035,0.6585051546391752
2585,5,0.3,100,5,0.7,0.587,0.028,0.6391752577319587
2585,5,0.3,300,5,0.7,0.555,0.029,0.6069587628865979
2585,5,0.3,400,5,0.7,0.542,0.008,0.5528350515463918
2585,5,0.7,5,5,0.7,0.646,0.027,0.6778350515463918
2585,5,0.7,50,5,0.7,0.669,0.031,0.7190721649484536
2585,5,0.7,100,5,0.7,0.600,0.018,0.6314432989690721
2585,5,0.7,300,5,0.7,0.547,0.021,0.5747422680412371
2585,5,0.7,400,5,0.7,0.534,0.019,0.5708762886597938
10000,5,0.0,5,5,0.7,0.442,0.006,0.4523333333333333
10000,5,0.0,50,5,0.7,0.463,0.009,0.477
10000,5,0.0,100,5,0.7,0.537,0.032,0.5833333333333334
10000,5,0.0,300,5,0.7,0.549,0.017,0.575
10000,5,0.0,400,5,0.7,0.532,0.014,0.5483333333333333
10000,5,0.3,5,5,0.7,0.478,0.011,0.49633333333333335
10000,5,0.3,50,5,0.7,0.587,0.039,0.6516666666666666
10000,5,0.3,100,5,0.7,0.590,0.025,0.6393333333333333
10000,5,0.3,300,5,0.7,0.536,0.010,0.5443333333333333
10000,5,0.3,400,5,0.7,0.531,0.006,0.5396666666666666
10000,5,0.7,5,5,0.7,0.640,0.033,0.6883333333333334
10000,5,0.7,50,5,0.7,0.665,0.022,0.6943333333333334
10000,5,0.7,100,5,0.7,0.610,0.017,0.644
10000,5,0.7,300,5,0.7,0.538,0.006,0.544
10000,5,0.7,400,5,0.7,0.524,0.008,0.5346666666666666
