pipeline,correlation,n_features,n_reps,n_classes,n_samples,mean_acc,std_acc
LdaBoost,0.5,5,5,2,1000,0.668000,0.028952
LdaBoost,0.5,50,5,2,1000,0.762667,0.054748
LdaBoost,0.5,100,5,2,1000,0.711333,0.034098
LdaBoost,0.5,300,5,2,1000,0.644667,0.024998
LdaBoost,0.5,400,5,2,1000,0.627333,0.013233
GBM,0.5,5,5,2,1000,0.703333,0.013166
GBM,0.5,50,5,2,1000,0.722000,0.032769
GBM,0.5,100,5,2,1000,0.682000,0.022470
GBM,0.5,300,5,2,1000,0.678667,0.014996
GBM,0.5,400,5,2,1000,0.706000,0.022351
LDA+GBM,0.5,5,5,2,1000,0.658667,0.026550
LDA+GBM,0.5,50,5,2,1000,0.762667,0.054748
LDA+GBM,0.5,100,5,2,1000,0.710667,0.033823
LDA+GBM,0.5,300,5,2,1000,0.644667,0.024998
LDA+GBM,0.5,400,5,2,1000,0.627333,0.013233
