pipeline,correlation,n_features,n_reps,n_classes,n_samples,mean_acc,std_acc
LdaBoost,0.5,5,5,5,1000,0.452000,0.028331
LdaBoost,0.5,50,5,5,1000,0.547333,0.033226
LdaBoost,0.5,100,5,5,1000,0.467333,0.042447
LdaBoost,0.5,300,5,5,1000,0.337333,0.022251
LdaBoost,0.5,400,5,5,1000,0.282667,0.018306
GBM,0.5,5,5,5,1000,0.449333,0.025333
GBM,0.5,50,5,5,1000,0.421333,0.032496
GBM,0.5,100,5,5,1000,0.402667,0.023514
GBM,0.5,300,5,5,1000,0.401333,0.017714
GBM,0.5,400,5,5,1000,0.358667,0.033173
LDA+GBM,0.5,5,5,5,1000,0.442667,0.027761
LDA+GBM,0.5,50,5,5,1000,0.570667,0.041868
LDA+GBM,0.5,100,5,5,1000,0.476667,0.042999
LDA+GBM,0.5,300,5,5,1000,0.341333,0.029635
LDA+GBM,0.5,400,5,5,1000,0.295333,0.022568
